Datetime,Hour of Day,Conditions,Temperature (C),Relative Humidity (%)
2018-05-21 22:00:00,22,Mainly Clear,14.8,75.0
2018-05-21 23:00:00,23,Clear,13.5,76.0
2018-05-22 00:00:00,0,Clear,13.1,77.0
2018-05-22 01:00:00,1,Clear,12.9,84.0
2018-05-22 02:00:00,2,Clear,12.2,88.0
2018-05-22 03:00:00,3,Clear,12.0,87.0
2018-05-22 04:00:00,4,Clear,11.9,88.0
2018-05-22 05:00:00,5,Fog,10.4,97.0
2018-05-22 06:00:00,6,Mainly Sunny,11.0,91.0
2018-05-22 07:00:00,7,Partly Cloudy,13.0,92.0
2018-05-22 08:00:00,8,Mainly Sunny,14.8,82.0
2018-05-22 09:00:00,9,Partly Cloudy,15.8,78.0
2018-05-22 10:00:00,10,Partly Cloudy,15.9,75.0
2018-05-22 11:00:00,11,Partly Cloudy,16.1,80.0
2018-05-22 12:00:00,12,Mainly Sunny,17.4,77.0
2018-05-22 13:00:00,13,Mainly Sunny,18.2,68.0
2018-05-22 14:00:00,14,Mainly Sunny,18.8,64.0
2018-05-22 15:00:00,15,Mainly Sunny,19.5,62.0
2018-05-22 16:00:00,16,Sunny,19.4,67.0
2018-05-22 17:00:00,17,Mainly Sunny,20.1,64.0
2018-05-22 18:00:00,18,Sunny,19.7,59.0
2018-05-22 19:00:00,19,Sunny,19.6,67.0
2018-05-22 20:00:00,20,Sunny,18.4,70.0
2018-05-22 21:00:00,21,Clear,16.1,84.0
