Datetime,Conditions,Temperature (C),Relativehumidity(%),Dew point(C),Humidex (C),Pressure(kPa),Visibility (km),Wind Direction,Wind Speed (km/hr),Wind chill (C)
2018-05-21 01:00:00,Partly Cloudy,17.3,38,3,,101.0,24,SSE,28.0,
2018-05-21 02:00:00,Partly Cloudy,15.9,42,3,,101.0,24,S,28.0,
2018-05-21 03:00:00,Partly Cloudy,14.6,46,3,,101.0,24,S,25.0,
2018-05-21 04:00:00,Mainly Clear,13.6,49,3,,101.0,24,S,23.0,
2018-05-21 05:00:00,Partly Cloudy,12.9,52,4,,101.0,24,S,20.0,
2018-05-21 06:00:00,Partly Cloudy,12.7,56,4,,101.0,24,SSE,11.0,
2018-05-21 07:00:00,Partly Cloudy,14.6,52,5,,100.9,24,SSE,23.0,
2018-05-21 08:00:00,Mainly Sunny,17.1,48,6,,100.9,24,SSE,14.0,
2018-05-21 09:00:00,Partly Cloudy,19.0,47,8,,100.9,24,S,16.0,
2018-05-21 10:00:00,Partly Cloudy,20.7,44,8,,100.9,24,S,15.0,
2018-05-21 11:00:00,Partly Cloudy,23.4,37,8,24.0,100.9,24,SSE,6.0,
2018-05-21 12:00:00,Mostly Cloudy,26.2,33,9,27.0,100.8,24,SSE,21.0,
2018-05-21 13:00:00,Mostly Cloudy,27.9,27,8,,100.8,24,SSW,13.0,
2018-05-21 14:00:00,Partly Cloudy,29.0,25,7,,100.8,24,SSE,12.0,
2018-05-21 15:00:00,Partly Cloudy,29.2,21,5,,100.7,24,SSW,13.0,
2018-05-21 16:00:00,Mostly Cloudy,29.7,19,4,,100.7,24,SW,10.0,
2018-05-21 17:00:00,Mostly Cloudy,29.3,16,1,,100.7,24,NNE,4.0,
2018-05-21 18:00:00,Mostly Cloudy,28.6,22,5,,100.7,24,NW,26.0,
2018-05-21 19:00:00,Mostly Cloudy,28.5,22,5,,100.7,24,NW,19.0,
2018-05-21 20:00:00,Mostly Cloudy,24.4,26,4,,100.8,24,NW,19.0,
2018-05-21 21:00:00,Partly Cloudy,19.4,37,5,,100.8,24,NW,15.0,
2018-05-21 22:00:00,Partly Cloudy,15.5,48,5,,100.9,24,NW,10.0,
2018-05-21 23:00:00,Partly Cloudy,17.6,45,6,,100.9,24,NE,17.0,
2018-05-22 00:00:00,Mainly Clear,16.0,52,6,,101.0,24,ENE,10.0,
