Datetime,Timezone,Hour of Day,Station ID,Station Name,Latitude,Longitude,Conditions,Temperature (C),Relativehumidity(%),Dew point(C),Humidex (C),Pressure(kPa),Visibility (km),Wind Direction,Wind Speed (km/hr),Wind chill (C)
2018-05-21 00:00:00,Canada/Pacific,0,YVR,Vancouver Int'l Airport,49.1,-123.1,Mostly Cloudy,12.9,78,9,,101.8,32,E,12.0,
2018-05-21 01:00:00,Canada/Pacific,1,YVR,Vancouver Int'l Airport,49.1,-123.1,Mostly Cloudy,12.4,79,9,,101.8,32,SE,10.0,
2018-05-21 02:00:00,Canada/Pacific,2,YVR,Vancouver Int'l Airport,49.1,-123.1,Mostly Cloudy,12.8,83,10,,101.8,32,E,11.0,
2018-05-21 03:00:00,Canada/Pacific,3,YVR,Vancouver Int'l Airport,49.1,-123.1,Cloudy,12.6,85,10,,101.8,32,SW,4.0,
2018-05-21 04:00:00,Canada/Pacific,4,YVR,Vancouver Int'l Airport,49.1,-123.1,Cloudy,12.3,84,10,,101.8,32,SE,8.0,
2018-05-21 05:00:00,Canada/Pacific,5,YVR,Vancouver Int'l Airport,49.1,-123.1,Cloudy,12.2,83,10,,101.8,32,SSE,8.0,
2018-05-21 06:00:00,Canada/Pacific,6,YVR,Vancouver Int'l Airport,49.1,-123.1,Cloudy,12.3,83,10,,101.8,32,SE,7.0,
2018-05-21 07:00:00,Canada/Pacific,7,YVR,Vancouver Int'l Airport,49.1,-123.1,Mostly Cloudy,12.6,80,9,,101.8,48,SSE,6.0,
2018-05-21 08:00:00,Canada/Pacific,8,YVR,Vancouver Int'l Airport,49.1,-123.1,Mostly Cloudy,13.1,79,10,,101.8,48,SSE,7.0,
2018-05-21 09:00:00,Canada/Pacific,9,YVR,Vancouver Int'l Airport,49.1,-123.1,Mostly Cloudy,13.6,81,10,,101.9,32,SW,10.0,
2018-05-21 10:00:00,Canada/Pacific,10,YVR,Vancouver Int'l Airport,49.1,-123.1,Mostly Cloudy,14.0,83,11,,101.9,48,SW,11.0,
2018-05-21 11:00:00,Canada/Pacific,11,YVR,Vancouver Int'l Airport,49.1,-123.1,Mostly Cloudy,15.4,79,12,,101.9,48,SW,13.0,
2018-05-21 12:00:00,Canada/Pacific,12,YVR,Vancouver Int'l Airport,49.1,-123.1,Mostly Cloudy,15.9,74,11,,101.9,48,SW,13.0,
2018-05-21 13:00:00,Canada/Pacific,13,YVR,Vancouver Int'l Airport,49.1,-123.1,Mostly Cloudy,16.3,73,12,,101.8,48,SW,14.0,
2018-05-21 14:00:00,Canada/Pacific,14,YVR,Vancouver Int'l Airport,49.1,-123.1,Mostly Cloudy,16.4,74,12,,101.8,48,SW,13.0,
2018-05-21 15:00:00,Canada/Pacific,15,YVR,Vancouver Int'l Airport,49.1,-123.1,Partly Cloudy,17.4,70,12,,101.8,48,SW,12.0,
2018-05-21 16:00:00,Canada/Pacific,16,YVR,Vancouver Int'l Airport,49.1,-123.1,Partly Cloudy,18.4,66,12,,101.7,48,SW,11.0,
2018-05-21 17:00:00,Canada/Pacific,17,YVR,Vancouver Int'l Airport,49.1,-123.1,Mainly Sunny,18.7,62,11,,101.7,48,SW,11.0,
2018-05-21 18:00:00,Canada/Pacific,18,YVR,Vancouver Int'l Airport,49.1,-123.1,Mainly Sunny,18.4,58,10,,101.6,48,W,10.0,
2018-05-21 19:00:00,Canada/Pacific,19,YVR,Vancouver Int'l Airport,49.1,-123.1,Mainly Sunny,17.7,62,10,,101.6,48,WSW,13.0,
2018-05-21 20:00:00,Canada/Pacific,20,YVR,Vancouver Int'l Airport,49.1,-123.1,Mainly Sunny,16.8,66,11,,101.6,48,SW,6.0,
2018-05-21 21:00:00,Canada/Pacific,21,YVR,Vancouver Int'l Airport,49.1,-123.1,Mainly Clear,14.0,80,11,,101.6,48,,0.0,
2018-05-21 22:00:00,Canada/Pacific,22,YVR,Vancouver Int'l Airport,49.1,-123.1,Mainly Clear,14.8,75,10,,101.6,48,N,5.0,
2018-05-21 23:00:00,Canada/Pacific,23,YVR,Vancouver Int'l Airport,49.1,-123.1,Clear,13.5,76,9,,101.6,32,,0.0,
2018-05-21 00:00:00,Canada/Pacific,0,YYJ,Victoria Int'l Airport,48.6,-123.4,Mainly Clear,9.8,91,8,,101.8,48,W,3.0,
2018-05-21 01:00:00,Canada/Pacific,1,YYJ,Victoria Int'l Airport,48.6,-123.4,Mainly Clear,11.8,85,9,,101.7,48,NW,10.0,
2018-05-21 02:00:00,Canada/Pacific,2,YYJ,Victoria Int'l Airport,48.6,-123.4,Partly Cloudy,12.1,83,9,,101.8,48,WNW,17.0,
