Datetime,Hour of Day,Conditions,Temperature (C),Relative Humidity (%)
2018-05-21 22:00,22,Mainly Clear,14.8,75
2018-05-21 23:00,23,Clear,13.5,76
2018-05-22 0:00,0,clear,,
2018-05-22 1:00,1,Clear,12.9,84
2018-05-22 2:00,2,Clear,12.2,88
2018-05-22 3:00,3, Clear ,12,
2018-05-22 4:00,4,,11.9,88
2018-05-22 5:00,5,Fog,10.4,97
2018-05-22 6:00,6,Mainly Sunny,11,91
2018-05-22 7:00,7,Partly Cloudy,13,92
2018-05-22 8:00,8,Mainly Sunny,14.8,82
2018-05-22 9:00,9,Partly cloudy,,78
2018-05-22 10:00,10, Partly Cloudy,15.9,75
2018-05-22 11:00,11, Partly Cloudy,16.1,80
2018-05-22 12:00,12,Mainly sunny,17.4,77
2018-05-22 13:00,13,Mainly Sunny,18.2,68
2018-05-22 14:00,14,Mainly Sunny,18.8,64
2018-05-22 15:00,15,Mainly sunny,19.5,
2018-05-22 16:00,16,Sunny,19.4,67
2018-05-22 17:00,17,Mainly Sunny   ,20.1,64
2018-05-22 18:00,18,Sunny,19.7,59
2018-05-22 19:00,19,,19.6,67
2018-05-22 20:00,20,Sunny,18.4,70
2018-05-22 21:00,21,Clear,16.1,84
